Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,
18-05-2015,109.063797,165.4493256,165.8604279,164.7227478,165.8126221,2061248
19-05-2015,109.3285065,165.8508606,166.1089935,164.3690186,165.3632965,2639058
20-05-2015,109.5049744,166.1185455,166.7686462,164.8757172,165.7074585,2406114
21-05-2015,109.240242,165.7170105,166.481842,165.4302063,165.6978912,2401198
22-05-2015,108.5344162,164.6462708,165.7648163,164.6175842,165.4302063,2980786
26-05-2015,107.2173004,162.6481781,164.5506744,161.6921539,164.5411072,4031493
27-05-2015,108.3957825,164.4359436,164.8948364,162.9923553,163.6328888,2891562
28-05-2015,108.2130051,164.1587067,164.2829895,163.1548767,163.910141,1811044
29-05-2015,106.914772,162.1893005,163.8145294,162.1893005,163.8145294,4280232
01-06-2015,107.2488098,162.6959839,163.518158,161.5965576,162.7246704,3122833
02-06-2015,106.914772,162.1893005,162.9541168,161.0229492,162.1988525,2689684
03-06-2015,107.0849075,162.4474182,164.0152893,162.170166,163.0019073,2229026
04-06-2015,106.1144028,160.9751434,163.0975189,160.5449371,162.0745697,3220948
05-06-2015,105.4968185,160.0382385,161.481842,159.8470306,160.8508606,3243123
08-06-2015,104.1985855,158.0688324,159.9235229,157.7629089,159.8183594,3931600
09-06-2015,104.4128494,158.3938751,158.7189331,156.1854706,158.0688324,3552111
10-06-2015,106.4547348,161.491394,161.9407196,158.7571716,159.1682587,4895803
11-06-2015,106.3665466,161.3575592,162.9445496,161.1281128,161.8164368,3623344
12-06-2015,105.2384415,159.6462708,160.8986664,159.3594666,160.8317413,3206095
15-06-2015,104.7783966,158.9483795,159.6462708,157.0267639,159.6462708,4441002
16-06-2015,105.1439209,159.5028687,160.0382385,158.6137695,159.0152893,3399291
17-06-2015,105.3518524,159.8183594,160.4684448,158.7954102,159.655838,2994698
18-06-2015,106.0325012,160.8508606,161.3001862,159.7036285,159.7036285,3484121
19-06-2015,105.2384415,159.6462708,161.013382,159.4359436,160.2485657,7399404
22-06-2015,105.7048035,160.3537292,160.9369049,159.8470306,160.2772522,2443247
23-06-2015,106.265686,161.2045898,162.495224,160.2007599,160.9751434,3871874
24-06-2015,105.2258377,159.6271515,161.414917,159.4933014,161.2906342,3711313
25-06-2015,104.6649704,158.7762909,160.736145,158.7762909,160.4206543,2519709
26-06-2015,104.274231,158.1835632,159.4741821,157.9636688,158.919693,9357516
29-06-2015,102.7049713,155.8030548,158.0783997,155.7265778,156.7112885,3467176
30-06-2015,102.5096588,155.5066986,156.7877655,154.9904327,156.7781982,3762776
01-07-2015,103.6629181,157.2562103,158.3269653,156.4053497,156.759079,3362367
02-07-2015,104.0410309,157.829834,158.0497131,157.1893005,157.7915802,2983924
06-07-2015,103.8141708,157.4856567,157.9636688,156.3288727,156.6252441,3221471
07-07-2015,103.9843216,157.7437897,158.0783997,155.0955963,157.6864166,3713195
08-07-2015,102.8247528,155.9847107,157.6864166,155.5258179,156.7877655,2904010
09-07-2015,103.2596054,156.6443634,158.2313538,156.5009613,158.0688324,4392886
10-07-2015,105.2132263,159.6080322,160.0382385,158.240921,158.3747559,4747062
13-07-2015,106.7446594,161.9311676,162.4187317,160.1529694,160.5449371,4423534
14-07-2015,106.259407,161.1950226,162.084137,160.8412933,161.9789734,3164464
15-07-2015,106.2089462,161.1185455,161.826004,160.6118622,161.0707397,2089908
16-07-2015,107.765625,163.4799194,163.5659637,161.7208405,162.0172119,3692275
17-07-2015,108.7171783,164.9235229,164.933075,162.6195068,162.839386,4556794
20-07-2015,109.1646194,165.6022949,166.1376648,164.5697937,165.1912079,7717179
21-07-2015,102.7680206,155.8986664,159.0344238,154.8948364,157.1128082,14384906
22-07-2015,101.0538559,153.2982788,155.8986664,152.6768646,155.5736084,7512163
23-07-2015,101.9235611,154.6175842,155.5927277,152.8011475,153.2218018,5265773
24-07-2015,100.6757431,152.7246704,154.8087921,152.3996124,154.1969452,3951997
27-07-2015,100.2472153,152.0745697,153.1357574,151.6252441,152.0076447,3876685
28-07-2015,100.8647919,153.0114746,153.1453094,151.5296326,152.8776245,2846166
29-07-2015,101.5202332,154.0057373,154.3977051,152.3804932,152.9636688,3533806
30-07-2015,101.4383087,153.8814545,154.3021088,152.7246704,153.4416809,2086456
31-07-2015,102.08741,154.8661499,154.933075,153.5659637,154.3021088,3744889
03-08-2015,100.0203247,151.7304077,154.7323151,150.9560242,154.588913,4828022
04-08-2015,99.32077789,150.66922,151.8355713,149.9713135,151.4340363,5502588
05-08-2015,99.50983429,150.9560242,152.5238953,150.5544891,152.1032562,3632549
06-08-2015,99.33193207,149.4455109,150.6118622,149.3116608,150.2198792,3143021
07-08-2015,98.56937408,148.2982788,149.3785858,147.5525818,149.0344238,3969465
10-08-2015,99.60517883,149.8565979,150.5449371,149.254303,149.8757172,4825616
11-08-2015,98.81721497,148.6711273,149.1300201,148.0497131,149.1013336,3312787
12-08-2015,99.23027039,149.2925415,149.6367035,147.1797333,147.4761047,3724074
13-08-2015,98.5376358,148.250473,149.2256165,147.5334625,149.1969452,2649936
14-08-2015,98.96973419,148.9005737,149.3403473,147.7820282,148.1835632,3374814
17-08-2015,99.32555389,149.4359436,149.7992401,147.8967438,148.3747559,2353082
18-08-2015,99.1349411,149.1491394,149.6367035,148.4225616,148.6711273,2111142
19-08-2015,97.81959534,147.170166,148.8240967,146.6634827,148.3269653,4399894
20-08-2015,97.00624084,145.9464569,147.1414948,145.7935028,146.0229492,4196029
21-08-2015,94.58518982,142.3040161,146.4531555,142.160614,144.8374786,7700757
24-08-2015,91.16653442,137.160614,141.2619476,136.7112885,137.160614,10658426
25-08-2015,89.57157898,134.7610016,140.6405334,134.4359436,140.4780121,7398567
26-08-2015,93.21899414,140.2485657,140.5162506,135.8890991,137.7533417,6508003
27-08-2015,94.38820648,142.0076447,142.4187317,139.254303,141.9694061,5205524
28-08-2015,94.03237152,141.4722748,141.6826019,140.7074585,141.2523956,4263810
31-08-2015,93.97517395,141.3862305,141.8738098,139.8279114,140.8986664,4281383
01-09-2015,90.66452026,136.4053497,138.6042023,135.6118622,138.5372925,5514512
02-09-2015,92.17050171,138.6711273,138.6998138,136.8833618,138.3747559,4447592
03-09-2015,93.26983643,140.3250427,141.5200806,139.3594666,139.6271515,3769261
04-09-2015,91.31267548,137.3804932,139.0057373,137.0172119,138.2122345,4394351
08-09-2015,93.55577087,140.7552643,140.8604279,139.254303,139.4455109,4114232
09-09-2015,92.17050171,138.6711273,142.4856567,138.4799194,142.1988525,3564559
10-09-2015,92.90129852,139.7705536,140.6883392,138.1548767,139.4359436,3620938
11-09-2015,93.64474487,140.8890991,141.013382,139.263855,139.4933014,3258395
14-09-2015,92.55178833,139.2447357,140.8890991,139.0152893,140.8890991,3375128
15-09-2015,93.7463913,141.0420685,141.424469,139.3498993,140.1529694,2842087
16-09-2015,94.3055954,141.8833618,142.3422546,141.0516205,141.3384247,2927963
17-09-2015,94.1340332,141.6252441,143.0975189,140.8221741,141.5870056,4187138
18-09-2015,91.82737732,138.1548767,139.9521942,137.6481781,139.6271515,8342687
21-09-2015,93.07918549,140.0382385,140.5162506,138.5468445,138.99617,4000950
22-09-2015,91.77655029,138.0783997,138.6806946,137.4474182,138.2600403,3728049
23-09-2015,91.28725433,137.3422546,138.2122345,136.4722748,137.8680725,2797213
24-09-2015,91.76383972,138.0592804,138.6902466,135.7074585,136.3288727,3431194
25-09-2015,92.40562439,139.0248566,139.8374786,138.173996,139.1491394,3634222
28-09-2015,90.56285858,136.2523956,138.986618,136.2045898,138.0688324,4515896
29-09-2015,90.53111267,136.2045898,136.3862305,134.9426422,135.745697,4982621
